pair,z_var,z_mean,in_band,quality,delta,R,beta,calibrations,red_line_1
AU-RB,0.0008620499135487112,1.091895025564503,False,bad,0.995,10658801.038015913,-0.42050514429784425,50,False
HC-CU,0.00015149021091562985,1.0883191623428277,False,bad,0.995,6815402322.230921,-3.101102677980123,50,False
AU-SF,0.013779275260887647,1.0755485151295945,False,bad,0.995,5933108.6838725805,4.0,50,False
I-NI,0.0002362708039887593,1.073426588096067,False,bad,0.995,11894179120.593836,4.0,50,False
SM-SS,0.00010823030679746044,1.0432999388453346,False,bad,0.995,57067841.945746265,0.8506380331462435,50,False
AL-SN,0.00041434850450303677,1.0828829595660432,False,bad,0.995,29070958872.040665,4.0,50,False
AG-SF,0.228561732344795,-1.1441642867359976,False,bad,0.995,248408.11582665358,0.6784658677949594,50,False
PB-CU,0.004961418904531642,1.1239415963163866,False,bad,0.995,107752557.37677765,4.0,50,False
I-CU,0.00010733240885408422,1.086379748501218,False,bad,0.995,4868901800.166746,4.0,50,False
HC-SM,0.7459600683304383,-0.6965009362736306,False,warning,0.995,10304.718547364075,1.782132749632025,44,False
PB-NI,0.0013903222312030914,1.0639153338912182,False,bad,0.995,2465844342.668653,4.0,50,False
RB-SF,0.42130349521587374,-0.8861395725740469,False,bad,0.995,13996.618888094921,1.8202370789866131,48,False
AU-AG,0.0009950628693821426,1.128475683057101,False,bad,0.995,30846582.438452598,4.0,50,False
AU-I,0.0011853013028921282,1.0913486243682857,False,bad,0.995,686142.6782700031,-0.14863810494160276,50,False
HC-ZN,0.00041327580782196904,1.085307337950662,False,bad,0.995,535803084.15716565,-0.793573551091708,50,False
RB-SS,0.0033304335810125985,0.9191400022067808,False,bad,0.995,7205493.226101948,3.3040918993146464,50,False
AU-HC,0.0009878492137914137,1.0972303541814108,False,bad,0.995,11576058.395015951,-0.376158833528512,50,False
AL-CU,0.09586830352941585,0.860762109972596,False,bad,0.995,1727674.2664094693,3.7709150124311592,41,False
PB-SS,0.001833342894259107,0.8968979240347221,False,bad,0.995,6205727.532855231,0.6434838607765058,50,False
SM-SF,0.003014600825471913,1.0408768898837037,False,bad,0.995,6564656.443143796,0.5211733636611632,50,False
RB-AG,0.0005195203445397662,1.111318295148859,False,bad,0.995,86530892.921745,-0.287813792444624,50,False
HC-SS,0.22594028960032456,0.25786127282615845,False,bad,0.995,138256.47730070757,3.8052272573915817,50,False
